"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"ABN AMRO Verzekeringen B.V.";"ABN AMRO Verzekeringen B.V.";"ZWOLLE"
"Abonnementenhoudster buro philip van den hurk B.V.";"Abonnementenhoudster buro philip van den hurk B.V.";"EINDHOVEN"
"Abonnementenhoudster TBPH B.V.";"Abonnementenhoudster TBPH B.V.";"ARNHEM"
"ABRAXAS Underwriting AG";"ABRAXAS Underwriting AG";""
"ABS Financial Planning Limited";"ABS Financial Planning Limited";"Hampshire"
"Absolute Independent Financial Advisers";"Absolute Independent Financial Advisers";"NEWCASTLE UPON TYNE"
"Abswoude B.V.";"ABSWOUDE  AUTOPROMENADE, Abswoude B.V.";"NOORDWIJK"
"ABVO Assurantiën en Onroerende Zaken B.V.";"ABVO Assurantiën en Onroerende Zaken B.V., ABVO Assurantiën en Onroerende Zaken B.V.";"REUVER"
"AC adviseurs";"AC adviseurs";"Eindhoven"
"Academica Rotterdam Noord";"Academica Rotterdam Noord";"Dordrecht"
"Academy Insurance Services Ltd";"Academy Insurance Services Ltd";"Berkshire"
"Acadium Bastion B.V.";"Acadium Bastion, Acadium Groep, Acadium Hypotheken, Acadium Pensioenen, Acadium Verzekeringen, Assurantiecentrum Nederland, Assurantiecentrum voor academici, Assurantiecentrum voor bedrijven, Financial Planning Centrum Nederland, Financial Planning Centrum voor Academici, Financial Planning Centrum voor Bedrijven, Financieringscentrum voor Academici, Gouden Handdruk, Gouden Handdruk Centrum, Gouden Handdrukken, Goudenhanddruk.nl, Hypotheekcentrum Nederland, Hypotheekcentrum voor Academici, Hypotheekcentrum voor Bedrijven, Hypotheekcentrum voor de HBO, Pensioencentrum Nederland, Pensioencentrum voor Academici, Pensioencentrum voor Bedrijven, Pensioencentrum voor de HBO, Acadium Bastion B.V., Nederlands Hypotheek Collectief";"ROTTERDAM"
"Acam Assurantiën B.V.";"ACAM Assurantiën BV, Acam Assurantiën B.V.";"WEST MAAS & WAAL"
"ACAPPELLA TRANSACTIONAL REAL ESTATE LIMITED";"ACAPPELLA TRANSACTIONAL REAL ESTATE LIMITED";""
"ACC Bank plc";"ACC Bank plc";"DUBLIN"
"ACC di Marchesi Sergio S.r.l.";"ACC di Marchesi Sergio S.r.l.";"BRESCIA"
"ACC Hypotheken en Verzekeringen";"ACC Hypotheken en Verzekeringen";"Vleuten"
"Accelerate Underwriting Limited";"Accelerate Underwriting Limited";"London"
"Access Underwriting Ltd.";"Access Underwriting Ltd.";"South Croydon  Surrey"
"Accident & Health Underwriting Limited";"Accident & Health Underwriting Limited";""
"acconavm Pensioenadvies B.V.";"acconavm Pensioenadvies B.V.";"ARNHEM"
"Accord Insurance Brokers PCC Ltd";"Accord Insurance Brokers PCC Ltd";""
"ACCS International B.V.";"ACCS International B.V.";"EINDHOVEN"
"Accuraat B.V.";"Accuraat B.V.";"OISTERWIJK"
"accurART Kunstversicherungsmakler (europe) SA";"accurART Kunstversicherungsmakler (europe) SA";"Vaduz"
"Acda Advies en Consultancy B.V.";"Acda Advies en Consultancy B.V.";"LELYSTAD"
"ACE Europe Life SE";"ACE Europe Life SE";"COURBEVOIE, FRANCE"
"ACETIM SA";"ACETIM SA";"Brussel"
"Achilla B.V.";"pensioenvooru, Achilla B.V., Achilla B.V., Verzekeringcare";"HUIZEN"
"Achmea Bank N.V.";"Achmea Bank N.V., Woonfonds Hypotheken, Avero Achmea, FBTO, Woonfonds, Centraal Beheer, Acier Financieringen";"'S-GRAVENHAGE"
"Achmea Pensioen- en Levensverzekeringen N.V.";"Achmea Pensioen- en Levensverzekeringen N.V., Centraal Beheer, Achmea Verzekering Service, Interpolis, Avéro Achmea, FBTO, Woonfonds Hypotheken";"APELDOORN"
"Achmea Reinsurance Company N.V.";"Achmea Reinsurance Company N.V., Interpolis Re";"TILBURG"
"Achmea Schadeverzekeringen N.V.";"InShared, Achmea Schadeverzekeringen N.V., Achmea Schadeverzekeringen N.V., Interpolis, Achmea Personenschade, Eurocross Assistance Insurance , GoedGenoeg, Zilveren Kruis, HEMA I. Services, Achmea GlobalNeth, Achmea Claims Organisatie, Avéro Achmea, Centraal Beheer, FBTO";"APELDOORN"
"Achmea Woninghypotheken B.V.";"Achmea Woninghypotheken B.V.";"ZEIST"
"Achmea Woninghypotheken III B.V.";"Achmea Woninghypotheken III B.V.";"ZEIST"
"Achmea Zorgverzekeringen N.V.";"Achmea Zorgverzekeringen N.V., Achmea Zorgverzekeringen N.V.";"ZEIST"
"Achour Cheurf";"Achour Cheurf";""
"ACHOUR MAURAD CHEURF";"ACHOUR MAURAD CHEURF";"Colombes"
"Achterhoek Comfort VOF";"Achterhoek Comfort VOF";"Doetinchem"
"Achterkamp Campers B.V.";"Achterkamp Campers B.V.";"DONDEREN"
"Acimon Advice";"Acimon Advice Group, Acimon Advice";"Beuningen Gld"
"Aci­pio - Con­sult GmbH Ver­si­che­rungs­mak­ler­ge­sell­schaft";"Aci­pio - Con­sult GmbH Ver­si­che­rungs­mak­ler­ge­sell­schaft";"Va­rel"
"Acis Cargo Underwriting Agency Ltd";"Acis Cargo Underwriting Agency Ltd";""
"Acis Transport Liability Agency Services Ltd";"Acis Transport Liability Agency Services Ltd";""
"ACKERMAN VERZEKERINGEN";"ACKERMAN VERZEKERINGEN";""
"ACL Verzekeringen B.V.";"ACL Verzekeringen B.V.";"OLDENZAAL"
"ACM Assurantiën en Hypotheken B.V.";"ACM Assurantiën en Hypotheken B.V.";"MOORDRECHT"
"ACN Assurantiën B.V.";"ACN Assurantiën, ACN Assurantiën B.V.";"ENKHUIZEN"
"Acontra GmbH";"Acontra GmbH";"Bergisch Gladbach"
"ACP Legal & Services B.V.";"ACP Legal & Services B.V.";"GEMEENTE LEUSDEN"
"Acquest V.O.F.";"Acquest V.O.F.";"'t Loo Oldebroek"
"Acquinex Limited";"Acquinex Limited";"London"
"Acquis Insurance Management B.V.";"Acquis Insurance Management B.V.";"HOOFDDORP"
"Acquis Insurance Management Limited";"Acquis Insurance Management Limited";"NEWPORT, GWENT"
"ACSI Verzekeringen B.V.";"ACSI Verzekeringen B.V.";"ANDELST (GEMEENTE OVERBETUWE)"
"ACTE ET PATRIMOINE INVEST";"ACTE ET PATRIMOINE INVEST";"Teyran"
"Actie Scooters.nl B.V.";"Actie Scooters.nl B.V.";"Rotterdam"
"Actief Hypotheken";"Actief Hypotheken, Actief Hypotheken";"Rotterdam"
"Actief Risicobeheer B.V.";"Actief Risicobeheer B.V.";"PERNIS, GEMEENTE ROTTERDAM"
"Actif Courtage";"Actif Courtage";"Yerres Cedex"
"Actin Advies B.V.";"Actin Advies B.V., Arbo Anders Verzuim en Verzekering, Zeker voor U";"GEMEENTE HEERENVEEN"
"ActioBroker Sp. z.o.o.";"ActioBroker Sp. z.o.o.";"Bydgoszcz"
"Action Motorsport";"Action Motorsport";"Netersel"
"Activa Hypotheken en Verzekeringen B.V.";"Activa Hypotheken en Verzekeringen B.V.";"'S-GRAVENHAGE"
"Active Capital BVBA";"Active Capital BVBA";"Schoten"
"Active Family Office";"Active Family Office";"Parijs CEDEX"
"Active Finance B.V.";"De Hypotheekshop, cnip financieel advies, cnip scheidingsbemiddeling, cnip hypotheken, cnip pensioenen, cnip verzekeringen, cnip Rotterdam, cnip financieel advies t.h.o.d.n. De Hypotheekshop, Active Finance BV, cnip, cnip Hellevoetsluis, cnipper.nl, Active Finance B.V.";"HELLEVOETSLUIS"
"Active Finance II B.V.";"Active Finance II B.V., De Hypotheekshop";"HELLEVOETSLUIS"
"Active Finance III B.V.";"Active Finance III B.V., De Hypotheekshop";"HELLEVOETSLUIS"
"Active Underwriting Specialists Ltd";"Active Underwriting Specialists Ltd";""
"ActivFleet B.V.";"ActivFleet B.V.";"ALMERE"
"Activity International B.V.";"Activity International B.V.";"Enschede"
"Actua Assuradeuren B.V.";"Actua Assurdeuren B.V., Voor Elkaar, Actua Assuradeuren B.V.";"CAPELLE AAN DEN IJSSEL"
"Actua Assurantiën B.V.";"Select Assurantiën, Actua Assurantiën B.V.";"CAPELLE AAN DEN IJSSEL"
"Actua Holding B.V.";"Actua Groep, Actua Holding B.V.";"CAPELLE AD YSSEL"
"Actua International B.V.";"Actua International B.V.";"CAPELLE AD YSSEL"
"Actua Schadeverzekering N.V.";"Actua Schadeverzekering N.V.";"CAPELLE AAN DEN IJSSEL"
"Actuaat Pensioen Services B.V.";"Actuaat Pensioen Services B.V.";"AMSTERDAM"
"Actuarieel Adviesbureau Confident B.V.";"Actuarieel Adviesbureau Confident B.V., Confident";"AMSTERDAM"
"Acturaad B.V.";"Acturaad, Acturaad B.V.";"HAARLEM"
"Acturance Financiële Diensten B.V.";"Acturance Financiële Diensten B.V.";"GEMEENTE SÚDWEST-FRYSLÂN"
"Actus Financieel Advies";"Actus Financieel Advies";"Bergen op Zoom"
"Acume B.V.";"Acume B.V.";"ELBURG"
"Acumen Financial Partnership Limited";"Acumen Financial Partnership Limited";"MAGHULL - MERSEYSIDE"
"Acumen Financial Planning Limited";"Acumen Financial Planning Limited";"Westhill, Aberdeenshire"
"Acura Assuradeuren B.V.";"Acura Assuradeuren B.V.";"SINT-OEDENRODE"
"Acura Services B.V.";"Acura Services B.V.";"SINT-OEDENRODE"
"AD Autobedrijf Erik Huzen B.V.";"AD Autobedrijf Erik Huzen B.V.";"HOLTEN"
"AD Autobedrijf Scheepers";"AD Autobedrijf Scheepers, Garage Schepers";"Bladel"
"Ad Bax Holding B.V.";"Ad Bax Holding B.V.";"GEMEENTE DONGEN"
"Ad de Gans Assurantiën";"Ad de Gans Assurantiën, Ad de Gans Assurantiën";"Ooltgensplaat"
"Ad Kokx Keukens v.o.f.";"Ad Kokx Keukens v.o.f.";"Eersel"
"Ad Kokx Witgoed";"Ad Kokx Witgoed";"Eersel"
"Ad Valkier Consultancy";"Ad Valkier Consultancy";"Goes"
"Ad van Gils Motors V.O.F.";"Ad van Gils Motors, Ad van Gils Motors V.O.F.";"Breda"
"Ad Vis Consultancy t.h.o.d.n. Partners in Planning";"Ad Vis Consultancy t.h.o.d.n. Partners in Planning";"'s-Gravenhage"
"AD2YOU Media";"AD2YOU Media, De Kredietadviseur Nuyts";"Bergen op Zoom"
"Ada Bicycles";"Ada Bicycles";"Amsterdam"
"Adam & Company Investment Management Ltd";"Adam & Company Investment Management Ltd";"London"
"ADAM ASSURANCES SAS";"ADAM ASSURANCES SAS";""
"Adamantis Insurance Broker Holding GmbH";"Adamantis Insurance Broker Holding GmbH";""
"Adaptto B.V.";"Adaptto B.V., Comfortrijden, polisvoormij.nl, www.deautospaarder.nl";"GORINCHEM"
"Adaptto Insurance Services V.O.F.";"Adaptto Insurance Services V.O.F.";"Gorinchem"
"Adato Advies";"Adato Advies, Adato Advies";"Veghel"
"Adaxio B.V.";"Adaxio B.V., Adaxioservices.com, Adaxio Services, Adaxio";"AMSTERDAM"
"Adbelin B.V.";"Adbelin B.V., PensioenZ.org";"TERNEUZEN"
"Adcentrass";"Adcentrass";"Heemstede"
"ADD N.V.";"ADD N.V.";"Leuven"
"Additional risk-insurance B.V.";"Additional risk-insurance B.V., Additional risk-insurance";"EINDHOVEN"
"Add-up Finance V.O.F.";"Add-up Finance V.O.F.";"Zutphen"
"Adegro";"Adegro, Adegro";"Eersel"
"Adelaar Auto's";"Adelaar Auto's";"Heerhugowaard"
"Adelbrecht Vastgoed Beheermaatschappij B.V.";"Adelbrecht Vastgoed Beheermaatschappij B.V.";"AMSTERDAM"
"Adem ?ahin";"Adem Sahin";""
"ADEMIS ASSURANCES SARL";"ADEMIS ASSURANCES SARL";""
"Adesso Bewindvoering";"Adesso Bewindvoering";"Nootdorp"
"Adesto";"Adesto";"Krimpen aan den IJssel"
"ADFIAS Assurantiën B.V.";"Adesto, ADFIAS Assurantiën B.V., Adfias";"GEMEENTE ROTTERDAM"
"AdFinAd";"AdFinAd";"Bladel"
"Adfinesse";"Adfinesse";"Zoetermeer"
"Adfinis B.V.";"Adfinis t.h.o.d.n. Van Bruggen Adviesgroep Deventer, Adfinis Hypotheken, Adfinis Verzekeringen, Adfinis B.V., Adfinis B.V.";"DEVENTER"
"Adfinum B.V.";"Adfinum, Adfinum B.V., Scheidingsmediair";"ROOSENDAAL"
"Adfion B.V.";"Adfion t.h.o.d.n. Hypotheekmaker, Adfion B.V.";"UDEN"
"ADICO BVBA";"ADICO BVBA";""
"Adire Pensioen & Advies";"Adire, Adire Insurance, Pensioenshop.com, Adire Pensioen & Advies";"Westerlee"
"ADLATUS Vermittlungsgesellschaft für Finanzdienstleistungen, Immobilien und Assekuranz mbH";"ADLATUS Vermittlungsgesellschaft für Finanzdienstleistungen, Immobilien und Assekuranz mbH";""
"ADMASS R.J. DE BOER";"ADMASS R.J. DE BOER";"Almere"
"Admicoach";"Admicoach";"Emmen"
"Admicon Hypotheken en Verzekeringen";"Admicon Hypotheken en Verzekeringen";"Assen"
"Administratie & Assurantiekantoor A.A.C. Kromhout";"Administratie & Assurantiekantoor A.A.C. Kromhout";"Noordwijk"
"Administratie- & Assurantiekantoor Kroes";"Administratie- & Assurantiekantoor Kroes";"Haarlem"
"Administratie- en Adviesbureau J.P. Bol B.V.";"Administratie- en Adviesbureau J.P. Bol B.V., Bol - Advies, Bol-Advies";"HILVERSUM"
"Administratie- en Assurantie Kantoor Bakhuyzen";"Administratie- en Assurantie Kantoor Bakhuyzen";"Boskoop"
"Administratie- en Assurantiekantoor A.C. Bogerd";"Administratie- en Assurantiekantoor A.C. Bogerd, Adm.- Ass. Kantoor A.C. Bogerd";"Leerdam"
"Administratie- en Assurantiekantoor 'De Braecken'";"Administratie- en Assurantiekantoor 'De Braecken', Administratie- en Assurantiekantoor de Braecken";"Zoetermeer"
"Administratie- en Assurantiekantoor F.A.H.J. van Doren";"Administratie- en Assurantiekantoor F.A.H.J. van Doren";"Zevenaar"
"Administratie- en Assurantiekantoor Van der Linden B.V.";"Administratie- en Assurantiekantoor Van der Linden B.V.";"EINDHOVEN"
"Administratie- en fiscaaladviesbureau M.C. Burgers";"Administratie- en fiscaaladviesbureau M.C. Burgers";"Culemborg"
"Administratie- en Verzekeringskantoor Heijmans";"Administratie- en Verzekeringskantoor Heijmans";"Rijswijk"
"Administratiekantoor Bouterse B.V.";"Administratiekantoor Bouterse, Administratiekantoor Bouterse B.V.";"SEROOSKERKE"
"Administratiekantoor Flevo";"Administratiekantoor Flevo, Hypotheekadviesbureau Flevo";"Biddinghuizen"
"Administratiekantoor H. Nelissen";"Administratiekantoor H Nelissen, Administratiekantoor H. Nelissen";"Thorn"
"Administratiekantoor H.C. Snoei";"Administratiekantoor H.C. Snoei, Administratie- en Assurantiekantoor H.C. Snoei, Administratiekantoor H.C. Snoei, Assurantiekantoor H.C. Snoei, H.C. Snoei t.h.o.d.n. The HypotheekCompany";"Capelle aan den IJssel"
"Administratiekantoor Hendriks Sittard B.V.";"Administratiekantoor Hendriks Sittard B.V.";"SITTARD"
"Administratiekantoor J. Rook V.O.F./Koos Rook Verzekeringen V.O.F.";"Koos Rook Financiële Diensten, Administratiekantoor J. Rook V.O.F./Koos Rook Verzekeringen V.O.F.";"Krimpen aan den IJssel"
"Administratiekantoor M.J. Knijnenburg";"Administratiekantoor M.J. Knijnenburg";"Nootdorp"
"Administratiekantoor Ronnor";"Administratiekantoor Ronnor, Ronnor Hypotheken en Verzekeringen";"Lekkerkerk"
"Administratiekantoor Stuy";"Administratiekantoor Stuy";"Oosterland"
"Administratiekantoor Van Burg";"Administratiekantoor Van Burg";"Zwijndrecht"
"Administratieve Diensten Van Opijnen";"Administratieve Diensten Van Opijnen, Bureau Voor Assurantie-Adviezen van Opijnen";"Zeist"
"Admiraal Consulting";"Admiraal Consulting";"Hellevoetsluis"
"Admiral Marine Ltd";"Admiral Marine Ltd";""
"Adolf Kaspar";"Adolf Kaspar";"Molln"
"Adolfs Hypotheek Bedrijf (AHB)";"Adolfs Hypotheek Bedrijf (AHB)";"Wijk bij Duurstede"
"ADP Advies";"ADP Advies";"Naarden"
"Adriaan de Kock Auto's";"Adriaan de Kock Auto's";"Waardenburg"
"Adriaans Assurantiën Bladel B.V.";"Adriaans Assurantiën Bladel BV, Adriaans Assurantiën Bladel B.V.";"BLADEL"
"Adriaanse & De Koning Assurantiën";"Adriaanse & De Koning Assurantiën, Adriaanse & de Koning Financiele Diensten Centrum";"Hellevoetsluis"
"Adriaanse Assurantie B.V.";"Adriaanse Assurantie B.V.";"'S-GRAVENHAGE"
"Adriana Stan?iková";"Adriana Staneiková";""
"Adrie van Leijsen Auto's B.V.";"Adrie van Leijsen Auto's B.V.";"DONGEN"
"ADRISK risicobeheer B.V.";"ADRISK risicobeheer B.V.";"'S-HERTOGENBOSCH"
"Adry Plas Verzekeringen";"Adry Plas Verzekeringen";"Alphen aan den Rijn"
"Ads Insurance Brokers Limted";"Ads Insurance Brokers Limted";""
"Advanced Capital Management AG";"Advanced Capital Management AG";""
"Advanced Cycle Engineering";"Advanced Cycle Engineering";"Winterswijk"
"Advanzia Bank S.A.";"Advanzia Bank S.A.";""
"Advas Adviesgroep B.V.";"Advas Adviesgroep B.V.";"GEMEENTE EINDHOVEN"
"Advema B.V.";"Financieel Adviesbureau Van den Haspel & De Vries, Hypotheekplanners Rotterdam, Assurantiekantoor A.H. Winkel & Zoon, Advema B.V.";"PAPENDRECHT"
"Advent Finance B.V.";"Advent Finance B.V., Advent Finance, Advent B.V.";"ROTTERDAM"
"Advent Solutions Management Ltd";"Advent Solutions Management Ltd";""
"AD-Vi VVE Beheer B.V.";"AD-Vi VVE Beheer B.V.";"VELDHOVEN"
"Advice Assurantiën";"Advice Assurantiën, Advice Financieel Management, Advice Assurantien, Advice Assurantiën, Advice Financieel MANAGEMENT";"Beuningen Gld"
"Adviceplus BVBA";"Adviceplus BVBA";""
"Advidens";"Yourda, Hoogstespaarrente.nl, Hypotheekondankscodering.nl, Hypotheek-offerte.nl, 3GKrediet, BKRhypotheek, Hypotheektopper, Krediet Advies Nederland, Kredietshop, Advidens";"Zutphen"
"Advies- & Assurantiekantoor P.J.H. Jacobs";"Advies- & Assurantiekantoor P.J.H. Jacobs, Advies & Assurantiekantoor Jacobs";"Heerlen"
"Advies & VVE Management Bureau Vertommen B.V.";"Advies & VVE Management Bureau Vertommen B.V.";"MAASTRICHT"
"Advies Arena";"Advies Arena";"Nijverdal"
"Advies Bureau Combee";"Advies Bureau Combee, Adviseur aan huis, Advies Bureau Combee, Financieel ABC, Hypotheek- en verzekering ABC, Hypotheek ABC, Pensioen ABC, Spaar ABC, Verzekering ABC";"Leeuwarden"
"Advies- en Administratiekantoor Hansma";"Advies- en Administratiekantoor Hansma";"Weesp"
"Advies- en Assurantiebedrijf Binasco";"Advies- en Assurantiebedrijf Binasco, Advies- en Assurantiebedrijf Binasco, Verkeersschool Binasco";"Badhoevedorp"
"Advies en Assurantiekantoor Adema";"Advies en Assurantiekantoor Adema";"Groningen"
"Advies- en Assurantiekantoor Koning en Jullens";"Brink Hypotheken & Financieel Advies, Advies- en Assurantiekantoor Koning en Jullens";"Nietap"
"Advies- en Assurantiekantoor Steenkamp";"Advies- en Assurantiekantoor Steenkamp";"Westbeemster"
"Advies- en Assurantiekantoor Timmers";"Advies- en Assurantiekantoor Timmers, Advies-en Assurantiekantoor Timmers";"Zevenbergen"
"Advies en Bemiddeling in Verzekeringen (A.B.V.) Oud Beijerland";"Advies en Bemiddeling in Verzekeringen (A.B.V.) Oud Beijerland, ABV Verzekeringen";"Poortugaal"
"Advies- en Bemiddelingsburo 'Bafin'";"Advies- en Bemiddelingsburo 'Bafin'";"Vlaardingen"
"Advies en Kies B.V.";"Advies en Kies B.V.";"EMMELOORD"
"Advies Forum Hypotheken B.V.";"Advies Formum Hypotheken, Advies Forum Hypotheken B.V.";"GEMEENTE VEENENDAAL"
"Advies Forum Nederland B.V.";"Advies Forum Nederland, Advies Forum Nederland B.V.";"GEMEENTE VEENENDAAL"
"Advies Groep Zorg en Inkomen B.V.";"Advies Groep Zorg en Inkomen, AGZI, Advies Groep Zorg en Inkomen B.V., van Brecht Hypotheken & Assurantiën";"ZOETERMEER"
"Advies in Hypotheken Beurskens";"Advies in Hypotheken Beurskens, Advies in Hypotheken Beurskens";"Tilburg"
"Advies in Hypotheken van de Poel";"Advies in Hypotheken van de Poel, Advies in Hypotheken van de Poel, Advies in pensioenen van de Poel, Uveco Helmond";"Helmond"
"Advies Kring voor Ondernemers (A.K.V.O.) B.V.";"Advies Kring voor Ondernemers (A.K.V.O.) B.V., AdviesKring, AdviesKring voor Financiele Zekerheid, AdviesKring voor Werknemers, Advies Kring voor Ondernemers (A.K.V.O.) B.V.";"AMERSFOORT"
"Advies Martin de Regt";"Advies Martin de Regt, Assurantie en Hypotheek Advies Martin de Regt";"Beverwijk"
"Advies met M.I.N.T.";"Advies met M.I.N.T., AdviesMetMint";"Breda"
"Advies Partner J.P.L. van der Linden";"Advies Partner J.P.L. van der Linden, Advies Partner J.P.L. van der Linden, J.P.L. van der Linden h.o.d.n. Financieel Adviespunt";"Ulvenhout"
"Advies Partner Marcel Rijn";"Advies Partner Marcel Rijn, Advies Partner Marcel Rijn";"Amersfoort"
"Advies Service Nederland";"Advies Service Nederland";"Zwolle"
"Advies van Joost";"Advies van Joost";"Oude-Tonge"
"Advies van Ton - Financieel Zeker";"Advies van Ton - Financieel Zeker";"Zoetermeer"
"Advies Verzekerd!";"Advies Verzekerd!; de Premiefoon; de Premietelefoon; de Premielijn; Assu-Interim; Volvoklassiek, Classicvolvo; Premie-online; Klassieker Verzekerd! Klassiekers Verzekerd!; Klassieker Online;, Klassiekers Online, Advies Verzekerd!";"de Wijk"
"Advies013 Hypotheken en Verzekeringen";"Advies013 Hypotheken en Verzekeringen, advies013, hypotheek013, PFA 13, verzekering013";"Goirle"
"Advies4U B.V.";"Advies4U B.V.";"GEMEENTE BODEGRAVEN-REEUWIJK"
"Adviesbureau Bouwens";"Adviesbureau Bouwens";"Beek"
"Adviesbureau C.J.N. van Dongen";"Adviesburo Van Dongen, Adviesbureau C.J.N. van Dongen";"Rotterdam"
"Adviesbureau Charmaine";"Adviesbureau Charmaine";"Nijmegen"
"Adviesbureau De Ruijter B.V.";"Adviesbureau De Ruijter B.V., Assurantiekantoor de Ruijter";"BRUNSSUM"
"Adviesbureau Dorrestijn v.o.f.";"Adviesbureau Dorrestijn v.o.f.";"Utrecht"
"Adviesbureau DVA";"Mijn Hypotheek, Adviesbureau DVA";"Dordrecht"
"Adviesbureau G.J. van der Zalm B.V.";"Adviesbureau van der Zalm B.V., Adviesbureau G.J. van der Zalm B.V.";"BUSSUM"
"Adviesbureau Gerrese administraties";"Adviesbureau Gerrese administraties, Adviesbureau Gerrese Assurantiën, Poliszorg";"Capelle aan den IJssel"
"Adviesbureau H.J. Dekker";"Adviesbureau H.J. Dekker";"Obdam"
"Adviesbureau Har Lacroix";"Adviesbureau Lacroix, Adviesbureau Lacroix & Partners, De Hypotheekboxer, Adviesbureau Har Lacroix";"Geleen"
"Adviesbureau John Janssen B.V.";"Adviesbureau John Janssen B.V.";"LANDGRAAF"
"Adviesbureau L.A. van Egmond";"Adviesbureau L.A. van Egmond";"Leimuiden"
"Adviesbureau L.E. van Egmond B.V.";"Adviesbureau L.E. van Egmond B.V.";"LEIMUIDEN"
"Adviesbureau Lagendijk";"Adviesbureau Lagendijk, Adviesbureau Lagendijk, Assurantie Adviesbureau Lagendijk";"Borculo"
"Adviesbureau Leibbrand";"A tot Z Hypotheker, A tot Z Hypotheken, A tot Z Hypotheken, Adviesbureau Leibbrand, Adviesbureau Leibbrand";"Alkmaar"
"Adviesbureau M. Lautenschläger";"Adviesbureau M. Lautenschläger";"Strijen"
"Adviesbureau Modest";"Adviesbureau Modest";"Spaarndam gem. Haarlem"
"Adviesbureau mr. H.C.M. Looijmans";"Adviesbureau mr. H.C.M. Looijmans";"Someren"
"Adviesbureau Mr. Stevens";"Adviesbureau Mr. Stevens";"Koningsbosch"
"Adviesbureau Neder Veluwe VOF";"Adviesbureau Neder Veluwe VOF";"Ede"
"Adviesbureau Ohr";"Adviesbureau Ohr";"'s-Gravenhage"
"Adviesbureau PHEBA B.V.";"Adviesbureau PHEBA B.V., Pheba Adviesbureau B.V.";"NOORDHOEK"
"ADVIESBUREAU SCHEFFEL B.V.";"ADVIESBUREAU SCHEFFEL B.V.";"EPE"
"Adviesbureau Thijn & de Graaf";"Adviesbureau G Thijn, Adviesbureau G.Thijn, Adviesbureau M de Graaf, Adviesbureau Thijn & de Graaf";"Uitgeest"
"Adviesbureau Timmermans en Partner B.V.";"Timmermans & Partner B.V., Adviesbureau Timmermans en Partner B.V.";"EIBERGEN"
"Adviesbureau Tjallema";"Adviesbureau Tjallema";"Gorssel"
"Adviesbureau Van Beers";"Adviesbureau Van Beers, De Vissende Visgids";"Den Hoorn"
"Adviesbureau Van Oosten";"Adviesbureau Van Oosten";"Ter Apel"
"Adviesbureau Van Veen B.V.";"Adviesbureau Van Veen B.V.";"DELFT"
"Adviesbureau Verhoeven B.V.";"Adviesbureau Verhoeven B.V.";"HANK, GEMEENTE WERKENDAM"
"Adviesbureau Wil de Groot";"Adviesbureau Wil de Groot, Administratie Assurantiekantoor Wil de Groot";"Warmenhuizen"
"Adviesburo Beuvery B.V.";"Adviesburo Beuvery, Beuvery Geurtsen & Partners, Adviesburo Beuvery B.V.";"BUSSUM"
"Adviesburo Driessen & Huntink";"Adviesburo Driessen & Huntink Employee Benefits, Adviesburo Driessen & Huntink Financial Planning, Adviesburo Driessen & Huntink Hypotheken, Adviesburo Driessen & Huntink Pensioenen, Adviesburo Driessen & Huntink Verkoopbegeleiding Vastgoed, Adviesburo Driessen & Huntink";"Montfoort"
"Adviesburo Efficiency";"Adviesburo Efficiency, Adviesburo Efficiency";"Zuidlaren"
"Adviesburo Financieel STERK";"Adviesburo Financieel STERK";"Breda"
